sample,group,D0,D1,D5,D9,D13,D17,D21,D25,D29
NN_1,NN,22.4,20.2,22.8,22.4,22.6,23,23.8,24.2,24.87
NN_2,NN,22.6,20,22.4,22,22,21.8,21.8,22.3,22.4
NN_3,NN,22.2,19.8,22.6,22.4,22.4,22.2,22.4,21.9,22.8
NN_4,NN,21.6,19.6,21.4,21.4,21.2,21.4,21.6,22.6,23.07
NN_5,NN,22.6,20.4,23,23.6,23.2,23.2,23.4,24.5,24.6
NN_6,NN,21.8,19.6,21.8,21.4,22,22,21.8,23,23.27
NN_7,NN,24.2,21.8,24,24,24,23.6,23.4,24.4,24.6
NN_8,NN,23,20.6,23,22,20.4,21.8,22,23,23.47
NN_9,NN,22.2,20,22.6,22.8,22.6,22.6,22.6,23.6,23.93
NN_10,NN,24.4,22,24,24.6,25.2,25,25.4,26,25.6
NN_11,NN,21.4,19.6,21.8,22,22,22,22.2,22.4,22.6
NN_12,NN,23,21,23.6,23.8,23.8,23.6,23.4,23.6,23.53
NT_1,NT,23.8,22.8,20.8,22.6,24,23.8,23.4,24,25.4
NT_2,NT,21.8,21,19.4,20.6,21.8,22,22.6,23.2,23.8
NT_3,NT,22.2,21,20,21.4,22.8,22,22,23,23.33
NT_4,NT,20.4,18.6,17.4,18.2,19.8,20,19.2,20,19.8
NT_5,NT,23,21.6,20.2,21.6,22.8,22.6,22.4,23.4,23.6
NT_6,NT,21.2,19,18.2,19.4,21,20.8,20.6,21,21
NT_7,NT,22.2,19.8,19.8,21.8,23.4,23.2,23.8,24.4,25.6
NT_8,NT,21,19,18.6,20,21.6,21.8,22,22.6,22.93
NT_9,NT,21.6,19.2,18.8,20.4,21.6,21.2,20.8,22,22.13
NT_10,NT,21.6,18.8,18.4,20.2,21.6,21.6,22,22.6,23.07
NT_11,NT,21.6,19.2,18.8,20,21.2,21,21.2,21.8,22.13
NT_12,NT,21.8,19,18.6,19.6,20.4,20.4,20.2,20.8,21.2
FA_1,FA,22.4,20,23.2,23.8,24.4,24.4,25.4,26.8,27.93
FA_2,FA,22.4,19.8,23.4,23.6,24,25.4,26.2,27.2,28.07
FA_3,FA,21.8,19.2,23.2,23.4,23.4,24.6,25.6,26.2,27.07
FA_4,FA,24.2,22,25.4,26,26.6,27.8,28.6,29,29.8
FA_5,FA,21.6,19.2,23.4,23.6,24.2,24.8,26.2,26.6,27.67
FA_6,FA,23,20.2,24.2,24,24.4,23.2,26.2,27.4,29.8
FA_7,FA,22,20.6,23,24.2,25.2,26.4,27.6,28.4,29.47
FA_8,FA,23.4,22.2,24.6,25.4,26,27,26.8,27.2,27.2
FA_9,FA,23.2,21.4,23.4,23.2,24.2,24.2,25,25.4,26.6
FA_10,FA,22.4,21,24.4,26.6,27,27.8,28.4,29,29.6
FA_11,FA,22.6,21.8,24,25.4,26.2,27.2,28.4,29.2,29.6
FA_12,FA,22.6,21.2,23.6,24,24.6,24.8,25.2,25.6,26.6
FT_1,FT,21.8,21.4,21.4,21.8,22.4,22.4,22.6,23,23.27
FT_2,FT,23,22,22.2,23.6,24.2,23.8,24,24.4,24.67
FT_3,FT,22.4,19.6,21.4,22.2,22.6,22.6,22.8,23.2,23.47
FT_4,FT,21.2,20.2,21,21.6,22,22,22.2,22.6,23.4
FT_5,FT,22.4,21.4,22.2,23.2,24.2,23.6,23.8,24.5,24.87
FT_6,FT,21.8,20.4,20.8,21.8,22.6,22.4,22.6,23.2,23.36
FT_7,FT,22,20.6,22,22,22.4,22.6,22.8,23.6,24
FT_8,FT,21.6,20,21.2,21.8,23,23.4,23.2,24.6,24.93
FT_9,FT,22,20.8,22,22.6,24,24.4,24.6,25.4,26
FT_10,FT,21,20.1,20.6,20.6,21.6,22,22,22.8,23.2
FT_11,FT,22.6,21.6,22,22.4,23.6,24,23.8,24.8,26
FT_12,FT,22.4,21.2,22.4,22.8,22.8,23.4,24.2,24.8,25.53
